number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004471000000005887,0,0,12416,12416,12416,12416,[]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0003396000000002175,0,0,3576,3576,3576,3576,[]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.00044570000000021537,0,0,5584,5584,5584,5584,[]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004368000000027905,0,0,5584,5584,5584,5584,[]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.00023819999999830088,0,0,2808,2808,2808,2808,[]
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004595000000051641,0,0,5048,5048,5048,5048,[]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.000724900000008688,0,0,5048,5048,5048,5048,[]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004762999999883277,0,0,4680,4680,4680,4680,[]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.00043759999999792853,0,0,5048,5048,5048,5048,[]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.00041290000000060445,0,0,5048,5048,5048,5048,[]
4,10,TSP_CITIES_SET_10_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004401999999856798,0,0,5048,5048,5048,5048,[]
4,11,TSP_CITIES_SET_11_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.00048350000000141335,0,0,5416,5416,5416,5416,[]
4,12,TSP_CITIES_SET_12_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.000423899999987043,0,0,5888,5888,5888,5888,[]
4,13,TSP_CITIES_SET_13_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004275000000006912,0,0,5048,5048,5048,5048,[]
4,14,TSP_CITIES_SET_14_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0003643000000010943,0,0,4312,4312,4312,4312,[]
4,15,TSP_CITIES_SET_15_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004191999999818563,0,0,5048,5048,5048,5048,[]
4,16,TSP_CITIES_SET_16_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0012573999999858643,0,0,4680,4680,4680,4680,[]
4,17,TSP_CITIES_SET_17_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004588999999839416,0,0,5048,5048,5048,5048,[]
4,18,TSP_CITIES_SET_18_N_4.json,TIME_AND_MEMORY,astar,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan,nan,nan,nan,0.0004039000000091164,0,0,4680,4680,4680,4680,[]
