number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00021830000000022665,0,0,3046,3046,3046,3046,[]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017619999999851643,0,0,1112,1112,1112,1112,[]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017580000000094742,0,0,1112,1112,1112,1112,[]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00019190000000079976,0,0,1112,1112,1112,1112,[]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017700000000075988,0,0,1112,1112,1112,1112,[]
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.0001755999999986102,0,0,1112,1112,1112,1112,[]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00023139999999699512,0,0,1112,1112,1112,1112,[]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017609999999734782,0,0,1112,1112,1112,1112,[]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.0001865000000051964,0,0,1112,1112,1112,1112,[]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00018260000000225318,0,0,1112,1112,1112,1112,[]
4,10,TSP_CITIES_SET_10_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00028559999999799857,0,0,1112,1112,1112,1112,[]
4,11,TSP_CITIES_SET_11_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00018790000000024065,0,0,1112,1112,1112,1112,[]
4,12,TSP_CITIES_SET_12_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00030220000000724667,0,0,1112,1112,1112,1112,[]
4,13,TSP_CITIES_SET_13_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017449999999996635,0,0,1112,1112,1112,1112,[]
4,14,TSP_CITIES_SET_14_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017649999999491683,0,0,1112,1112,1112,1112,[]
4,15,TSP_CITIES_SET_15_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017509999999276715,0,0,1112,1112,1112,1112,[]
4,16,TSP_CITIES_SET_16_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.0001918000000102893,0,0,1112,1112,1112,1112,[]
4,17,TSP_CITIES_SET_17_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.0002017000000051894,0,0,1112,1112,1112,1112,[]
4,18,TSP_CITIES_SET_18_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00020270000000266464,0,0,1112,1112,1112,1112,[]
4,19,TSP_CITIES_SET_19_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017719999999599167,0,0,1112,1112,1112,1112,[]
4,20,TSP_CITIES_SET_20_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.0001783000000159518,0,0,1112,1112,1112,1112,[]
4,21,TSP_CITIES_SET_21_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00017729999999005486,0,0,1112,1112,1112,1112,[]
4,22,TSP_CITIES_SET_22_N_4.json,TIME_AND_MEMORY,brutal_force,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE,{},nan,nan,nan,nan,0.00021259999999756474,0,0,1112,1112,1112,1112,[]
