number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,7.440000000080715e-05,0,0,2968,2968,2968,2968,[]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,7.799999999846818e-05,0,0,896,896,896,896,[]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,7.790000000085229e-05,0,0,896,896,896,896,[]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,6.970000000094956e-05,0,0,896,896,896,896,[]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,7.43000000014149e-05,0,0,896,896,896,896,[]
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,7.07999999960407e-05,0,0,896,896,896,896,[]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,9.020000000248274e-05,0,0,896,896,896,896,[]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,6.900000000342743e-05,0,0,896,896,896,896,[]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,6.880000000819564e-05,0,0,896,896,896,896,[]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,greedy_search,nan,nan,[],False,nan,nan,[],nan,GREEDY_SEARCH,{},nan,nan,nan,nan,6.879999999398478e-05,0,0,896,896,896,896,[]
