number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0003105000000012126,0,0,2328,2328,2328,2328,[]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0003085000000027094,0,0,1704,1704,1704,1704,[]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.00023779999999362644,0,0,1576,1576,1576,1576,[]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0002663999999867883,0,0,1704,1704,1704,1704,[]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0004194000000268261,0,0,1896,1896,1896,1896,[]
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.00023240000001578665,0,0,1576,1576,1576,1576,[]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0003652000000329281,0,0,1576,1576,1576,1576,[]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0005608999999822117,0,0,1768,1768,1768,1768,[]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0002645000000143227,0,0,1704,1704,1704,1704,[]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,ps2,"{'suffix': 'ps2', 'perturbation_scheme': 'ps2'}",nan,nan,nan,nan,0.0002372000000150365,0,0,1576,1576,1576,1576,[]
