number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.00041329999999817346,0,0,2728,2728,2728,2728,[]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.00038820000000328037,0,0,2152,2152,2152,2152,[]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.00024949999999535066,0,0,1704,1704,1704,1704,[]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.0003202999999984968,0,0,1960,1960,1960,1960,[]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.00037120000001777953,0,0,2216,2216,2216,2216,[]
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.0003800999999725718,0,0,1960,1960,1960,1960,[]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.00023090000001957378,0,0,1704,1704,1704,1704,[]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.0003730999999902451,0,0,2088,2088,2088,2088,[]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.0003875000000448381,0,0,2280,2280,2280,2280,[]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,local_search,nan,nan,[],False,nan,nan,[],nan,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",nan,nan,nan,nan,0.00027959999999893625,0,0,1896,1896,1896,1896,[]
