number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm,full_cost         ,hamiltonian_cycle_cost,best_way                                               ,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way                                            ,optimal_cost      ,suffix                                    ,parameters                                                                                                                             ,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
15              ,0              ,TSP_CITIES_SET_0_N_15.json ,TIME_AND_DATA      ,particle_swarm,7329.893545764582 ,7329.893545764582     ,"[0, 6, 3, 5, 11, 2, 1, 10, 14, 4, 7, 13, 8, 12, 9, 0]",False              ,236.97405088784853     ,3.340994509510739      ,"[0, 9, 6, 3, 5, 11, 2, 1, 10, 14, 4, 7, 13, 8, 12, 0]",7092.919494876734 ,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,100.0                 ,0.3354101966249653    ,100.3                 ,1.0491369000000006  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[100.3, 99.4, 100.3, 100.3, 100.0, 99.7, 99.7, 100.0, 100.3]"
15              ,1              ,TSP_CITIES_SET_1_N_15.json ,TIME_AND_DATA      ,particle_swarm,7453.858835795643 ,7453.858835795644     ,"[0, 13, 3, 5, 12, 4, 10, 1, 6, 9, 11, 2, 14, 7, 8, 0]",True               ,0.0                    ,0.0                    ,"[0, 13, 3, 5, 12, 4, 10, 1, 6, 9, 11, 2, 14, 7, 8, 0]",7453.858835795644 ,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,99.86666666666666     ,0.3391164991562602    ,100.3                 ,1.0238746           ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[99.4, 99.4, 100.3, 100.0, 99.7, 100.0, 99.7, 100.0, 100.3]"
15              ,2              ,TSP_CITIES_SET_2_N_15.json ,TIME_AND_DATA      ,particle_swarm,8122.634652416684 ,8122.634652416684     ,"[0, 7, 11, 12, 8, 10, 4, 5, 9, 3, 14, 2, 6, 1, 13, 0]",False              ,396.50896647191803     ,5.1320543127228735     ,"[0, 13, 12, 8, 11, 10, 4, 5, 9, 3, 14, 2, 6, 1, 7, 0]",7726.125685944766 ,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,99.97                 ,0.386005181312372     ,100.3                 ,1.1463840000000003  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[100.3, 99.7, 100.0, 100.3, 100.3, 99.4, 99.7, 100.3, 100.3, 99.4]"
15              ,3              ,TSP_CITIES_SET_3_N_15.json ,TIME_AND_DATA      ,particle_swarm,6921.871704668895 ,6921.871704668895     ,"[0, 12, 11, 13, 4, 6, 2, 14, 7, 8, 10, 9, 1, 5, 3, 0]",False              ,76.52211964457183      ,1.1178701495681163     ,"[0, 9, 1, 10, 8, 7, 14, 2, 6, 13, 4, 11, 12, 3, 5, 0]",6845.3495850243235,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",86.0                  ,98.3777777777778      ,4.657997900863036     ,100.3                 ,1.0111584999999996  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[99.7, 100.3, 100.3, 99.4, 100.3, 100.3, 99.4, 99.7, 86.0]"
15              ,4              ,TSP_CITIES_SET_4_N_15.json ,TIME_AND_DATA      ,particle_swarm,7629.945469217378 ,7629.945469217377     ,"[0, 11, 6, 8, 7, 13, 5, 4, 9, 10, 2, 12, 14, 1, 3, 0]",False              ,910.2381770696993      ,13.545800992453335     ,"[0, 5, 13, 7, 8, 6, 11, 14, 1, 12, 2, 10, 4, 9, 3, 0]",6719.707292147677 ,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,99.97                 ,0.386005181312372     ,100.3                 ,1.1401719000000003  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[100.3, 99.7, 100.3, 99.4, 100.3, 100.3, 99.7, 100.0, 100.3, 99.4]"
15              ,5              ,TSP_CITIES_SET_5_N_15.json ,TIME_AND_DATA      ,particle_swarm,8068.261102098136 ,8068.261102098136     ,"[0, 1, 7, 2, 3, 9, 5, 13, 14, 4, 12, 8, 10, 6, 11, 0]",False              ,578.6506496719312      ,7.726044676789319      ,"[0, 2, 3, 9, 5, 13, 14, 4, 12, 10, 8, 7, 1, 6, 11, 0]",7489.610452426205 ,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",86.0                  ,98.46666666666665     ,4.702658822410998     ,100.8                 ,0.9938261000000006  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[100.3, 100.3, 99.4, 100.8, 99.4, 100.3, 99.4, 100.3, 86.0]"
15              ,6              ,TSP_CITIES_SET_6_N_15.json ,TIME_AND_DATA      ,particle_swarm,7346.5956555753255,7346.595655575326     ,"[0, 5, 8, 1, 12, 14, 2, 3, 13, 6, 11, 4, 10, 9, 7, 0]",True               ,0.0                    ,0.0                    ,"[0, 5, 8, 1, 12, 14, 2, 3, 13, 6, 11, 4, 10, 9, 7, 0]",7346.5956555753255,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,99.99999999999999     ,0.3999999999999962    ,100.3                 ,1.1360175999999997  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[100.3, 99.7, 100.3, 100.3, 99.4, 100.3, 99.7, 100.3, 99.4, 100.3]"
15              ,7              ,TSP_CITIES_SET_7_N_15.json ,TIME_AND_DATA      ,particle_swarm,6565.543715271096 ,6565.543715271096     ,"[0, 10, 7, 8, 12, 6, 2, 1, 5, 9, 11, 13, 4, 3, 14, 0]",True               ,0.0                    ,0.0                    ,"[0, 10, 7, 8, 12, 6, 2, 1, 5, 9, 11, 13, 4, 3, 14, 0]",6565.5437152710965,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,99.96363636363635     ,0.5104365333177577    ,100.8                 ,1.2510741999999997  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[99.4, 100.8, 99.4, 100.3, 100.3, 99.4, 99.7, 100.3, 100.3, 99.4, 100.3]"
15              ,8              ,TSP_CITIES_SET_8_N_15.json ,TIME_AND_DATA      ,particle_swarm,7181.429076128929 ,7181.42907612893      ,"[0, 12, 5, 7, 14, 3, 1, 4, 6, 13, 9, 2, 11, 8, 10, 0]",True               ,0.0                    ,0.0                    ,"[0, 12, 5, 7, 14, 3, 1, 4, 6, 13, 9, 2, 11, 8, 10, 0]",7181.429076128929 ,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,100.01                ,0.5404730438339245    ,100.8                 ,1.1275905000000002  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[99.4, 100.8, 99.4, 100.3, 99.4, 100.3, 99.7, 100.0, 100.8, 100.0]"
15              ,9              ,TSP_CITIES_SET_9_N_15.json ,TIME_AND_DATA      ,particle_swarm,7236.397876348326 ,7236.397876348325     ,"[0, 4, 2, 6, 3, 13, 9, 12, 10, 14, 1, 8, 7, 5, 11, 0]",False              ,207.42387164353204     ,2.9509836215739935     ,"[0, 2, 6, 13, 3, 9, 4, 10, 12, 14, 1, 8, 7, 5, 11, 0]",7028.974004704793 ,PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_800_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 800, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",99.4                  ,100.01111111111112    ,0.5732461173973242    ,100.8                 ,0.9902082999999999  ,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,nan                                                    ,"[99.4, 100.8, 99.4, 100.3, 100.3, 99.4, 99.7, 100.0, 100.8]"
