number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix                                    ,parameters                                                                                                                             ,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
15              ,0              ,TSP_CITIES_SET_0_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,1.119841099999995   ,0                                      ,1383                                        ,378252                                ,378252                                     ,378252                                            ,378252                                                 ,[]
15              ,1              ,TSP_CITIES_SET_1_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.9095618000000059  ,0                                      ,1383                                        ,343284                                ,343284                                     ,343284                                            ,343284                                                 ,[]
15              ,2              ,TSP_CITIES_SET_2_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.8476631000000054  ,0                                      ,1383                                        ,340220                                ,340220                                     ,340220                                            ,340220                                                 ,[]
15              ,3              ,TSP_CITIES_SET_3_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.8516425000000254  ,0                                      ,1383                                        ,308844                                ,308844                                     ,308844                                            ,308844                                                 ,[]
15              ,4              ,TSP_CITIES_SET_4_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.819074999999998   ,0                                      ,1383                                        ,296612                                ,296612                                     ,296612                                            ,296612                                                 ,[]
15              ,5              ,TSP_CITIES_SET_5_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.9836242000000084  ,0                                      ,1383                                        ,287972                                ,287972                                     ,287972                                            ,287972                                                 ,[]
15              ,6              ,TSP_CITIES_SET_6_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.9763596999999891  ,0                                      ,1383                                        ,323076                                ,323076                                     ,323076                                            ,323076                                                 ,[]
15              ,7              ,TSP_CITIES_SET_7_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.9107989000000316  ,0                                      ,1383                                        ,298676                                ,298676                                     ,298676                                            ,298676                                                 ,[]
15              ,8              ,TSP_CITIES_SET_8_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.9625585000000001  ,0                                      ,1383                                        ,430644                                ,430644                                     ,430644                                            ,430644                                                 ,[]
15              ,9              ,TSP_CITIES_SET_9_N_15.json ,TIME_AND_MEMORY    ,particle_swarm,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100,"{'suffix': 'PSO_POP_500_ALPHA_0_9_BETA_0_3_NR_ITER_100', 'size_of_population': 500, 'alpha': 0.9, 'beta': 0.3, 'max_iterations': 100}",nan                   ,nan                   ,nan                   ,nan                   ,0.7917135000000144  ,0                                      ,1383                                        ,284420                                ,284420                                     ,284420                                            ,284420                                                 ,[]
