number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,1935.208175927314,1935.2081759273142,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",1935.2081759273144,HELD_KARP,{},0.0,0.0,nan,0.0,0.00018640000000047507,nan,nan,nan,nan,nan,nan,[0.0]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2849.964203248856,2849.964203248856,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2849.9642032488564,HELD_KARP,{},57.3,57.3,nan,57.3,0.0001639000000004387,nan,nan,nan,nan,nan,nan,[57.3]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2672.783922024946,2672.783922024946,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2672.783922024946,HELD_KARP,{},0.0,0.0,nan,0.0,0.00019189999999991159,nan,nan,nan,nan,nan,nan,[0.0]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,HELD_KARP,{},71.0,71.0,nan,71.0,0.00014689999999983883,nan,nan,nan,nan,nan,nan,[71.0]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2138.4694210788257,2138.4694210788257,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,HELD_KARP,{},0.0,0.0,nan,0.0,0.00014719999999979194,nan,nan,nan,nan,nan,nan,[0.0]
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,3284.070906401097,3284.0709064010975,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,HELD_KARP,{},0.0,0.0,nan,0.0,0.0001559999999996009,nan,nan,nan,nan,nan,nan,[0.0]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2812.785510358919,2812.785510358919,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2812.785510358919,HELD_KARP,{},0.0,0.0,nan,0.0,0.0001697000000007165,nan,nan,nan,nan,nan,nan,[0.0]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,4483.726936907282,4483.726936907283,"[0, 3, 1, 2, 0]",True,0.0,0.0,"[0, 3, 1, 2, 0]",4483.726936907283,HELD_KARP,{},0.0,0.0,nan,0.0,0.00017449999999996635,nan,nan,nan,nan,nan,nan,[0.0]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2642.734850528839,2642.734850528839,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2642.734850528839,HELD_KARP,{},0.0,0.0,nan,0.0,0.00016679999999968942,nan,nan,nan,nan,nan,nan,[0.0]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,3900.075015622191,3900.075015622191,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3900.075015622191,HELD_KARP,{},0.0,0.0,nan,0.0,0.00014719999999979194,nan,nan,nan,nan,nan,nan,[0.0]
4,10,TSP_CITIES_SET_10_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2611.1585930675274,2611.158593067528,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2611.1585930675283,HELD_KARP,{},99.4,99.4,nan,99.4,0.0001449999999998397,nan,nan,nan,nan,nan,nan,[99.4]
4,11,TSP_CITIES_SET_11_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2793.517283556732,2793.5172835567323,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2793.5172835567328,HELD_KARP,{},0.0,0.0,nan,0.0,0.00016499999999997073,nan,nan,nan,nan,nan,nan,[0.0]
