number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes,utilization_of_cpu
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,1935.208175927314,1935.2081759273142,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",1935.2081759273144,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,9.330000000140615e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2849.964203248856,2849.964203248856,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2849.9642032488564,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,9.01999999998182e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2672.783922024946,2672.783922024946,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2672.783922024946,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,0.00018919999999988946,nan,nan,nan,nan,nan,nan,[0.0]
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2088.938557724558,2088.938557724558,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2088.938557724558,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.46999999999376e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2138.4694210788257,2138.4694210788257,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,PC2_HELD_KARP,{},83.1,91.69999999999999,12.16223663640862,100.3,0.00018000000000029104,nan,nan,nan,nan,nan,nan,"[83.1, 100.3]"
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,3284.070906401097,3284.0709064010975,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.689999999944575e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2812.785510358919,2812.785510358919,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2812.785510358919,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.430000000014815e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,4483.726936907282,4483.726936907283,"[0, 3, 1, 2, 0]",True,0.0,0.0,"[0, 3, 1, 2, 0]",4483.726936907283,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.300000000005525e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2642.734850528839,2642.734850528839,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2642.734850528839,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.450000000026492e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,3900.075015622191,3900.075015622191,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3900.075015622191,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,9.250000000005087e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,10,TSP_CITIES_SET_10_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2611.1585930675274,2611.158593067528,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2611.1585930675283,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,0.0001596999999997628,nan,nan,nan,nan,nan,nan,[0.0]
4,11,TSP_CITIES_SET_11_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2793.517283556732,2793.5172835567323,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2793.5172835567328,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.300000000005525e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,12,TSP_CITIES_SET_12_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,3540.006955380778,3540.006955380779,"[0, 3, 1, 2, 0]",True,0.0,0.0,"[0, 3, 1, 2, 0]",3540.006955380779,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,0.00014429999999965304,nan,nan,nan,nan,nan,nan,[0.0]
4,13,TSP_CITIES_SET_13_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,4162.84504878398,4162.84504878398,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",4162.845048783979,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,0.00016609999999994685,nan,nan,nan,nan,nan,nan,[0.0]
4,14,TSP_CITIES_SET_14_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,2593.8172114763024,2593.8172114763024,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2593.8172114763024,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.199999999991547e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,15,TSP_CITIES_SET_15_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,1743.3912064237177,1743.3912064237177,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",1743.3912064237177,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.070000000026667e-05,nan,nan,nan,nan,nan,nan,[0.0]
4,16,TSP_CITIES_SET_16_N_4.json,TIME_AND_DATA,dynamic_programing_held_karp,3244.5262399743824,3244.5262399743824,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",3244.5262399743824,PC2_HELD_KARP,{},0.0,0.0,nan,0.0,8.220000000003225e-05,nan,nan,nan,nan,nan,nan,[0.0]
