    ,number_of_cities,index_of_sample,x_min,x_avg               ,x_stdev           ,x_median,x_q1   ,x_q3   ,x_max,y_min,y_avg               ,y_stdev           ,y_median,y_q1   ,y_q3   ,y_max
0   ,4               ,1              ,-34  ,290.5               ,368.3861198977689 ,239.5   ,-8.5   ,538.5  ,717  ,-982 ,-442.5              ,456.32554169145516,-394.0  ,-734.5 ,-102.0 ,0
1   ,4               ,2              ,-939 ,-325.0              ,597.3257067965517 ,-351.5  ,-762.0 ,85.5   ,342  ,-155 ,-2.5                ,107.7419757259599 ,30.0    ,-38.75 ,66.25  ,85
2   ,4               ,3              ,-239 ,263.25              ,454.22782462841997,299.5   ,-59.75 ,622.5  ,693  ,0    ,129.25              ,132.0388200492567 ,118.5   ,29.25  ,218.5  ,280
3   ,4               ,4              ,0    ,418.0               ,293.77428977589807,521.5   ,319.5  ,620.0  ,629  ,0    ,485.25              ,378.4313015594772 ,548.5   ,284.25 ,749.5  ,844
4   ,4               ,5              ,-881 ,-277.5              ,576.5879522385693 ,-308.0  ,-682.25,96.75  ,387  ,-799 ,-282.75             ,370.2525039303133 ,-166.0  ,-427.0 ,-21.75 ,0
5   ,4               ,6              ,-745 ,12.0                ,556.500374363456  ,111.5   ,-186.25,309.75 ,570  ,-210 ,63.0                ,214.71531539847516,95.0    ,-52.5  ,210.5  ,272
6   ,4               ,7              ,-914 ,-162.5              ,784.8590106934281 ,-302.0  ,-681.5 ,217.0  ,868  ,-446 ,134.0               ,462.24308179427265,182.5   ,-111.5 ,428.0  ,617
7   ,4               ,8              ,0    ,368.25              ,298.45421201026244,378.0   ,231.0  ,515.25 ,717  ,-836 ,-262.25             ,488.23653761948896,-236.5  ,-563.75,65.0   ,260
8   ,4               ,9              ,-666 ,45.0                ,561.7745692594732 ,73.0    ,-166.5 ,284.5  ,700  ,-616 ,-48.5               ,585.776123332683  ,-161.5  ,-396.25,186.25 ,745
9   ,4               ,10             ,-426 ,78.0                ,399.48299922107657,106.0   ,-106.5 ,290.5  ,526  ,0    ,364.25              ,347.33689217626545,336.5   ,132.0  ,568.75 ,784
10  ,4               ,11             ,-892 ,-334.0              ,398.4678991671307 ,-222.0  ,-478.75,-77.25 ,0    ,-655 ,-178.25             ,441.53699354263244,-202.0  ,-466.75,86.5   ,346
11  ,4               ,12             ,-319 ,53.5                ,374.8195121210563 ,-20.5   ,-110.5 ,143.5  ,574  ,-881 ,-67.75              ,623.6886910417194 ,-14.5   ,-242.0 ,159.75 ,639
12  ,4               ,13             ,-742 ,6.5                 ,647.4408595900221 ,-35.0   ,-238.0 ,209.5  ,838  ,-848 ,-216.5              ,522.9968132471428 ,-194.5  ,-503.75,92.75  ,371
13  ,4               ,14             ,0    ,334.25              ,340.99303511948744,271.5   ,132.75 ,473.0  ,794  ,-311 ,100.5               ,411.6329270924116 ,21.0    ,-77.75 ,199.25 ,671
14  ,4               ,15             ,-347 ,-215.5              ,150.33850693241126,-257.5  ,-292.25,-180.75,0    ,-363 ,-22.5               ,310.6557580345164 ,-55.5   ,-174.0 ,96.0   ,384
15  ,4               ,16             ,0    ,287.25              ,256.9557354876516 ,306.0   ,108.0  ,485.25 ,537  ,-779 ,-230.25             ,653.5418247263649 ,-366.5  ,-744.5 ,147.75 ,591
16  ,4               ,17             ,-665 ,109.0               ,578.7233075198084 ,253.0   ,-166.25,528.25 ,595  ,-970 ,185.75              ,874.0542984658714 ,376.0   ,-242.5 ,804.25 ,961
17  ,4               ,18             ,-906 ,-151.5              ,574.6039215552455 ,-89.5   ,-360.75,119.75 ,479  ,-164 ,402.75              ,570.5233708330156 ,390.0   ,-41.0  ,833.75 ,995
18  ,4               ,19             ,-265 ,-138.25             ,118.94641650760228,-144.0  ,-219.25,-63.0  ,0    ,-353 ,288.75              ,576.5780519582756 ,284.0   ,-88.25 ,661.0  ,940
19  ,4               ,20             ,-973 ,-177.0              ,731.2979329019512 ,-239.5  ,-602.5 ,186.0  ,744  ,-411 ,-7.25               ,480.59780482228587,-142.0  ,-315.75,166.5  ,666
20  ,4               ,21             ,0    ,540.75              ,412.89334781111046,641.5   ,327.75 ,854.5  ,880  ,-790 ,-187.5              ,693.9675784934049 ,-336.5  ,-702.25,178.25 ,713
21  ,4               ,22             ,-565 ,51.5                ,655.519386949514  ,-99.5   ,-290.5 ,242.5  ,970  ,-157 ,219.0               ,485.3390567428094 ,52.0    ,-39.25 ,310.25 ,929
22  ,4               ,23             ,-885 ,-622.75             ,416.982313773618  ,-803.0  ,-827.25,-598.5 ,0    ,-817 ,-71.25              ,524.62264215974   ,65.0    ,-204.25,198.0  ,402
23  ,4               ,24             ,-867 ,107.25              ,740.4828942431193 ,212.5   ,-216.75,536.5  ,871  ,-821 ,-224.75             ,470.7301951932409 ,-173.5  ,-465.5 ,67.25  ,269
24  ,4               ,25             ,0    ,414.75              ,362.68202326555974,416.5   ,189.75 ,641.5  ,826  ,-368 ,23.75               ,446.2304150697634 ,-95.5   ,-235.25,163.5  ,654
25  ,4               ,26             ,-31  ,201.75              ,271.1215901891007 ,147.0   ,-7.75  ,356.5  ,544  ,-553 ,-224.5              ,382.85985251351   ,-272.0  ,-546.25,49.75  ,199
26  ,4               ,27             ,-928 ,14.25               ,764.4581414309092 ,20.5    ,-232.0 ,266.75 ,944  ,0    ,260.25              ,329.08395585321387,149.5   ,99.75  ,310.0  ,742
27  ,4               ,28             ,-765 ,-157.0              ,730.6613442628534 ,-337.5  ,-697.5 ,203.0  ,812  ,-786 ,14.5                ,686.761239442064  ,-24.0   ,-232.5 ,223.0  ,892
28  ,4               ,29             ,-857 ,-51.25              ,721.4468679905217 ,-116.5  ,-389.0 ,221.25 ,885  ,-881 ,-492.25             ,388.9750420442594 ,-544.0  ,-752.75,-283.5 ,0
29  ,4               ,30             ,-219 ,49.75               ,387.40192307214994,-97.0   ,-200.25,153.0  ,612  ,-87  ,163.75              ,244.0196371879389 ,166.0   ,-21.75 ,351.5  ,410
30  ,4               ,31             ,0    ,623.5               ,431.51091141090126,773.5   ,504.75 ,892.25 ,947  ,-575 ,-100.25             ,447.96307511520035,-149.0  ,-367.25,118.0  ,472
31  ,4               ,32             ,-208 ,122.0               ,504.8623574797392 ,-85.5   ,-180.25,216.75 ,867  ,-875 ,-56.0               ,601.8045086792443 ,39.5    ,-218.75,202.25 ,572
32  ,4               ,33             ,-796 ,-129.75             ,645.1751054300427 ,-214.5  ,-520.75,176.5  ,706  ,0    ,476.5               ,399.9479132753831 ,475.0   ,276.0  ,675.5  ,956
33  ,4               ,34             ,0    ,454.25              ,518.429921332993  ,411.5   ,15.75  ,850.0  ,994  ,-969 ,-254.5              ,849.5969632714091 ,-443.0  ,-906.75,209.25 ,837
34  ,4               ,35             ,-59  ,183.0               ,398.5431804292562 ,6.0     ,-14.75 ,203.75 ,779  ,-283 ,-175.75             ,129.02034723251987,-210.0  ,-266.5 ,-119.25,0
35  ,4               ,36             ,-878 ,-302.0              ,528.2770737659043 ,-299.5  ,-668.75,67.25  ,269  ,-440 ,32.5                ,430.74547782497575,-17.5   ,-136.25,151.25 ,605
36  ,4               ,37             ,0    ,254.75              ,323.77088092250256,168.5   ,5.25   ,418.0  ,682  ,-117 ,13.25               ,111.41027780236436,7.5     ,-29.25 ,50.0   ,155
37  ,4               ,38             ,-273 ,-88.0               ,183.29757226979302,-102.0  ,-221.25,31.25  ,125  ,-744 ,-423.25             ,312.2919307314872 ,-474.5  ,-580.5 ,-317.25,0
38  ,4               ,39             ,-968 ,-158.0              ,795.0144652772049 ,-270.0  ,-647.0 ,219.0  ,876  ,-741 ,-21.25              ,547.0047988820573 ,34.0    ,-185.25,198.0  ,588
39  ,4               ,40             ,-500 ,-117.75             ,293.24207860855626,-81.5   ,-247.25,48.0   ,192  ,-987 ,-394.25             ,455.16837543924333,-295.0  ,-631.5 ,-57.75 ,0
40  ,4               ,41             ,-660 ,-190.25             ,538.3433693594947 ,-293.0  ,-604.5 ,121.25 ,485  ,0    ,544.25              ,393.18051409838034,639.0   ,397.5  ,785.75 ,899
41  ,4               ,42             ,0    ,486.5               ,365.99134780301387,570.5   ,309.75 ,747.25 ,805  ,-300 ,-36.25              ,300.77497125481256,-109.0  ,-238.5 ,93.25  ,373
42  ,4               ,43             ,0    ,499.5               ,375.2194913203026 ,550.5   ,360.75 ,689.25 ,897  ,-346 ,210.0               ,535.9670387875235 ,132.5   ,-86.5  ,429.0  ,921
43  ,4               ,44             ,-652 ,106.75              ,597.1473157158681 ,153.5   ,-163.0 ,423.25 ,772  ,-519 ,-29.0               ,417.5428121761887 ,-47.5   ,-201.0 ,124.5  ,498
44  ,4               ,45             ,-662 ,-47.0               ,435.73462872104466,59.5    ,-165.5 ,178.0  ,355  ,-494 ,-190.5              ,284.2739289253706 ,-183.0  ,-398.0 ,24.5   ,98
45  ,4               ,46             ,0    ,341.75              ,287.81750583775596,334.5   ,214.5  ,461.75 ,698  ,-920 ,-321.75             ,489.2554717799962 ,-257.0  ,-615.5 ,36.75  ,147
46  ,4               ,47             ,-743 ,-27.25              ,518.4929282706436 ,74.5    ,-185.75,233.0  ,485  ,0    ,173.25              ,252.64385341160917,74.5    ,20.25  ,227.5  ,544
47  ,4               ,48             ,-223 ,178.25              ,392.0190258988289 ,122.0   ,-55.75 ,356.0  ,692  ,-770 ,-367.75             ,408.4624625756121 ,-350.5  ,-694.25,-24.0  ,0
48  ,4               ,49             ,-887 ,30.0                ,697.6479532448058 ,106.0   ,-221.75,357.75 ,795  ,-929 ,106.0               ,760.1328831197872 ,337.5   ,-232.25,675.75 ,678
49  ,4               ,50             ,-378 ,148.75              ,536.3838022660018 ,38.5    ,-94.5  ,281.75 ,896  ,0    ,357.25              ,383.70767953395637,365.5   ,38.25  ,684.5  ,698
50  ,4               ,51             ,-318 ,-60.25              ,213.4578412708233 ,-57.5   ,-165.75,48.0   ,192  ,0    ,463.25              ,392.5339688060979 ,447.0   ,315.75 ,594.5  ,959
51  ,4               ,52             ,0    ,464.25              ,401.8236553514489 ,521.0   ,192.75 ,792.5  ,815  ,-606 ,-180.75             ,522.5140348992232 ,-297.5  ,-597.75,119.5  ,478
52  ,4               ,53             ,-616 ,-1.0                ,438.9282401486603 ,115.5   ,-154.0 ,268.5  ,381  ,-930 ,-111.0              ,563.9491702863536 ,71.0    ,-232.5 ,192.5  ,344
53  ,4               ,54             ,-590 ,-92.75              ,460.59191988860016,-138.5  ,-355.25,124.0  ,496  ,0    ,270.75              ,465.18696957961606,59.0    ,9.75   ,320.0  ,965
54  ,4               ,55             ,-998 ,55.0                ,797.0081555417108 ,154.5   ,-249.5 ,459.0  ,909  ,0    ,263.5               ,289.3930429940107 ,230.5   ,31.5   ,462.5  ,593
55  ,4               ,56             ,-526 ,-156.25             ,328.0166408380323 ,-156.5  ,-366.25,53.5   ,214  ,-398 ,206.75              ,553.6360868536901 ,155.5   ,-99.5  ,461.75 ,914
56  ,4               ,57             ,-479 ,22.25               ,516.7219594069264 ,-85.0   ,-247.25,184.5  ,738  ,-11  ,254.75              ,307.56069861627856,217.5   ,-2.75  ,475.0  ,595
57  ,4               ,58             ,-898 ,10.25               ,740.2217573133067 ,12.0    ,-224.5 ,246.75 ,915  ,-565 ,9.75                ,430.13360327538544,69.0    ,-141.25,220.0  ,466
58  ,4               ,59             ,-613 ,-188.75             ,408.6998695049135 ,-215.0  ,-475.75,72.0   ,288  ,-156 ,23.5                ,185.0             ,-16.0   ,-63.0  ,70.5   ,282
59  ,4               ,60             ,-282 ,207.25              ,425.1896635620391 ,231.0   ,-70.5  ,508.75 ,649  ,-668 ,-124.0              ,595.9222544370476 ,-245.5  ,-535.25,165.75 ,663
60  ,4               ,61             ,-25  ,85.25               ,116.6829750506331 ,74.5    ,-6.25  ,166.0  ,217  ,-628 ,79.5                ,657.957192123216  ,-9.0    ,-170.5 ,241.0  ,964
61  ,4               ,62             ,-796 ,-284.5              ,562.5474794776586 ,-355.0  ,-731.5 ,92.0   ,368  ,-864 ,-219.25             ,554.2330286080035 ,-217.5  ,-542.25,105.5  ,422
62  ,4               ,63             ,-516 ,-9.25               ,356.48597447866024,111.0   ,-129.0 ,230.75 ,257  ,-49  ,200.0               ,262.30643657117275,191.0   ,-12.25 ,403.25 ,467
63  ,4               ,64             ,-699 ,177.5               ,705.2141518716141 ,221.5   ,-174.75,573.75 ,966  ,-989 ,90.25               ,812.77113424793   ,212.5   ,-247.25,550.0  ,925
64  ,4               ,65             ,-662 ,212.0               ,690.3544983074516 ,315.0   ,-165.5 ,692.5  ,880  ,-669 ,64.0                ,640.2213159004731 ,16.0    ,-167.25,247.25 ,893
65  ,4               ,66             ,-16  ,412.0               ,486.7333287677487 ,391.0   ,-4.0   ,807.0  ,882  ,-824 ,-450.25             ,393.6583755830259 ,-488.5  ,-755.75,-183.0 ,0
66  ,4               ,67             ,-290 ,-31.0               ,273.925780702243  ,-86.5   ,-202.25,84.75  ,339  ,-675 ,-71.25              ,419.9368008006284 ,50.5    ,-168.75,148.0  ,289
67  ,4               ,68             ,-524 ,70.75               ,635.8696800445828 ,-79.5   ,-250.25,241.5  ,966  ,-826 ,-281.0              ,455.3694470793285 ,-237.0  ,-562.0 ,44.0   ,176
68  ,4               ,69             ,-18  ,145.0               ,298.17444558513057,3.0     ,-4.5   ,152.5  ,592  ,0    ,262.0               ,230.97907553138518,251.5   ,132.75 ,380.75 ,545
