number_of_cities,index_of_sample,name_of_src_file,x_min,x_avg,x_stdev,x_median,x_q1,x_q3,x_max,y_min,y_avg,y_stdev,y_median,y_q1,y_q3,y_max,nr_points_in_q1,nr_points_in_q2,nr_points_in_q3,nr_points_in_q4,nr_points_axis_x_neg,nr_points_axis_x_pos,nr_points_axis_y_neg,nr_points_axis_y_pos,nr_points_in_center,dist_from_center_min,dist_from_center_avg,dist_from_center_stdev,dist_from_center_median,dist_from_center_q1,dist_from_center_q3,dist_from_center_max,dist_from_center_sum
4,0,TSP_CITIES_SET_0_N_4.json,0,218.5,183.43482039496573,212.5,159.0,272.0,449,-601,-116.0,348.8657812588293,-43.5,-215.5,56.0,224,1,0,0,2,0,0,0,0,1,230.08259386576813,429.56640153405516,280.426567945379,308.41530441921975,269.2489491424939,529.3083053681987,750.2013063171778,1288.6992046021655
4,1,TSP_CITIES_SET_1_N_4.json,-34,290.5,368.3861198977689,239.5,-8.5,538.5,717,-982,-442.5,456.32554169145516,-394.0,-734.5,-102.0,0,0,0,1,2,0,0,0,0,1,497.9327263797791,788.9062352407085,377.816659237649,652.8859012109236,575.4093137953514,934.3929896711732,1215.9000781314228,2366.7187057221254
4,2,TSP_CITIES_SET_2_N_4.json,-939,-325.0,597.3257067965517,-351.5,-762.0,85.5,342,-155,-2.5,107.7419757259599,30.0,-38.75,66.25,85,1,1,1,0,0,0,0,0,1,352.40459701882435,671.068096743281,297.2766628917002,719.8847129922957,536.14465500556,830.3998466055093,940.914980218723,2013.204290229843
4,3,TSP_CITIES_SET_3_N_4.json,-239,263.25,454.22782462841997,299.5,-59.75,622.5,693,0,129.25,132.0388200492567,118.5,29.25,218.5,280,2,1,0,0,0,0,0,0,1,368.13176988681647,564.3682265123429,172.86051415800313,630.8763745774603,499.50407223213836,662.4864548251062,694.096535072752,1693.1046795370287
4,4,TSP_CITIES_SET_4_N_4.json,0,418.0,293.77428977589807,521.5,319.5,620.0,629,0,485.25,378.4313015594772,548.5,284.25,749.5,844,3,0,0,0,0,0,0,0,1,570.190319104069,856.49348433634,253.53868922532047,946.6852697702653,758.4377944371672,999.6450669524754,1052.6048641346856,2569.48045300902
4,5,TSP_CITIES_SET_5_N_4.json,-881,-277.5,576.5879522385693,-308.0,-682.25,96.75,387,-799,-282.75,370.2525039303133,-166.0,-427.0,-21.75,0,0,0,2,1,0,0,0,0,1,491.50584940568103,765.8472358055857,372.0692369887837,616.6822520553028,554.094050730492,903.0179290055379,1189.353605955773,2297.541707416757
4,6,TSP_CITIES_SET_6_N_4.json,-745,12.0,556.500374363456,111.5,-186.25,309.75,570,-210,63.0,214.71531539847516,95.0,-52.5,210.5,272,2,0,1,0,0,0,0,0,1,351.728588545202,575.5309990255765,212.2854298837596,600.832755431992,476.280671988597,687.4322042657639,774.0316530995357,1726.5929970767297
4,7,TSP_CITIES_SET_7_N_4.json,-914,-162.5,784.8590106934281,-302.0,-681.5,217.0,868,-446,134.0,462.24308179427265,182.5,-111.5,428.0,617,1,1,1,0,0,0,0,0,1,750.8208840995301,933.3179168819966,163.12418288094474,984.1854500042155,867.5031670518728,1024.56643327323,1064.9474165422441,2799.9537506459897
4,8,TSP_CITIES_SET_8_N_4.json,0,368.25,298.45421201026244,378.0,231.0,515.25,717,-836,-262.25,488.23653761948896,-236.5,-563.75,65.0,260,1,0,0,2,0,0,0,0,1,403.0682324371396,736.8346724058597,292.49444150414917,858.9633286700894,631.0157805536145,903.7178923902197,948.4724561103501,2210.504017217579
4,9,TSP_CITIES_SET_9_N_4.json,-666,45.0,561.7745692594732,73.0,-166.5,284.5,700,-616,-48.5,585.776123332683,-161.5,-396.25,186.25,745,0,1,0,2,0,0,0,0,1,354.4643846707311,762.0669592987618,354.57287589113287,932.4462450994159,643.4553148850734,965.8682466127773,999.2902481261387,2286.2008778962854
