number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},32.1,32.1,nan,32.1,0.0,nan,nan,nan,nan,nan,nan
4,2,TSP_CITIES_SET_2_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},39.3,39.3,nan,39.3,0.0,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},31.0,31.0,nan,31.0,0.0,nan,nan,nan,nan,nan,nan
4,6,TSP_CITIES_SET_6_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,7,TSP_CITIES_SET_7_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},28.6,28.6,nan,28.6,0.0,nan,nan,nan,nan,nan,nan
4,8,TSP_CITIES_SET_8_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,9,TSP_CITIES_SET_9_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},30.3,30.3,nan,30.3,0.0,nan,nan,nan,nan,nan,nan
4,10,TSP_CITIES_SET_10_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,11,TSP_CITIES_SET_11_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,12,TSP_CITIES_SET_12_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,13,TSP_CITIES_SET_13_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},3.1,3.1,nan,3.1,0.0,nan,nan,nan,nan,nan,nan
4,14,TSP_CITIES_SET_14_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,15,TSP_CITIES_SET_15_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},12.5,12.5,nan,12.5,0.0,nan,nan,nan,nan,nan,nan
4,16,TSP_CITIES_SET_16_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,17,TSP_CITIES_SET_17_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
4,18,TSP_CITIES_SET_18_N_4.json,CPU,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},0.0,0.0,nan,0.0,0.0,nan,nan,nan,nan,nan,nan
