number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.000348000000000237,0,0,13509,13509,13509,13509
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.00017869999999975406,0,0,13509,13509,13509,13509
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.00018310000000010263,0,0,13509,13509,13509,13509
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.0001799000000000106,0,0,13509,13509,13509,13509
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.00017599999999973193,0,0,13509,13509,13509,13509
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.001511200000000379,0,0,13509,13509,13509,13509
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.0001757000000002229,0,0,13509,13509,13509,13509
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.0002431000000000516,0,0,13509,13509,13509,13509
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.00017690000000003536,0,0,13509,13509,13509,13509
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,dynamic_programing_exact_held_karp_lib_python_tsp,nan,nan,[],False,nan,nan,[],nan,BRUTE_FORCE_HELD_KARP,{},nan,nan,nan,nan,0.000327499999999592,0,0,13509,13509,13509,13509
