number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00011159999999987846,0,0,3517,3517,3517,3517
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010639999999995098,0,0,3517,3517,3517,3517
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00011230000000006513,0,0,3517,3517,3517,3517
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010270000000023316,0,0,3517,3517,3517,3517
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.0001221999999998502,0,0,3517,3517,3517,3517
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010370000000037294,0,0,3517,3517,3517,3517
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010299999999974219,0,0,3517,3517,3517,3517
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00011159999999987846,0,0,3517,3517,3517,3517
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.0001061999999998342,0,0,3517,3517,3517,3517
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00016199999999999548,0,0,3517,3517,3517,3517
4,10,TSP_CITIES_SET_10_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00016630000000006362,0,0,3517,3517,3517,3517
4,11,TSP_CITIES_SET_11_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010350000000025616,0,0,3517,3517,3517,3517
4,12,TSP_CITIES_SET_12_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.0001150999999999236,0,0,3517,3517,3517,3517
4,13,TSP_CITIES_SET_13_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010440000000011551,0,0,3517,3517,3517,3517
4,14,TSP_CITIES_SET_14_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010679999999974044,0,0,3517,3517,3517,3517
4,15,TSP_CITIES_SET_15_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00010670000000034818,0,0,3517,3517,3517,3517
4,16,TSP_CITIES_SET_16_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,9.529999999990935e-05,0,0,3517,3517,3517,3517
4,17,TSP_CITIES_SET_17_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.00025110000000028165,0,0,3517,3517,3517,3517
4,18,TSP_CITIES_SET_18_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.0001121999999997847,0,0,3517,3517,3517,3517
4,19,TSP_CITIES_SET_19_N_4.json,TIME_AND_MEMORY,greedy_search_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,GREADY_SEARCH,{},nan,nan,nan,nan,0.000109600000000043,0,0,3517,3517,3517,3517
