number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.1, 'max_iterations': 20}",[],nan,nan,nan,nan,0.6355969000000004,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_2_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_2_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.2, 'max_iterations': 20}",[],nan,nan,nan,nan,0.6733678000000003,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_3_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_3_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.3, 'max_iterations': 20}",[],nan,nan,nan,nan,0.6006440000000004,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_4_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_4_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.4, 'max_iterations': 20}",[],nan,nan,nan,nan,0.5957541000000002,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_5_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_5_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.5, 'max_iterations': 20}",[],nan,nan,nan,nan,0.5622600000000002,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_6_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_6_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.6, 'max_iterations': 20}",[],nan,nan,nan,nan,0.6178369999999997,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_7_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_7_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.7, 'max_iterations': 20}",[],nan,nan,nan,nan,0.5523775999999998,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_8_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_8_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.8, 'max_iterations': 20}",[],nan,nan,nan,nan,0.563555,464,1823,22376,22376,21912,21912
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_9_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_9_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.9, 'max_iterations': 20}",[],nan,nan,nan,nan,0.5507565999999997,464,1823,22376,22376,21912,21912
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,ant_colony_tsp_scikit_opt,nan,nan,[],False,nan,nan,[],nan,POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20,"{'suffix': 'POP_100_ALFA_1_BETA_2_RHO_0_1_MAX_ITER_20', 'size_of_population': 100, 'alpha': 1, 'beta': 2, 'rho': 0.1, 'max_iterations': 20}",[],nan,nan,nan,nan,0.6924022000000001,464,1823,22376,22376,21912,21912
