number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.0003598000000000212,0,0,17760,17760,17760,17760
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.00029349999999972454,0,0,17328,17328,17328,17328
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.00038580000000010273,0,0,18832,18832,18832,18832
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.00047859999999966263,0,0,18832,18832,18832,18832
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.0002317999999998932,0,0,16592,16592,16592,16592
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.0011014000000000301,0,0,17456,17456,17456,17456
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.00036769999999997083,0,0,17968,17968,17968,17968
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.00039790000000028414,0,0,18528,18528,18528,18528
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.0002431000000000516,0,0,16592,16592,16592,16592
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_MEMORY,astar_heuristic_self_impl,nan,nan,[],False,nan,nan,[],nan,HEURISTIC_B,"{'suffix': 'HEURISTIC_B', 'heuristic_model': 'B'}",nan,nan,nan,nan,0.00036329999999962226,0,0,18528,18528,18528,18528
