number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm           ,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix     ,parameters                                         ,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration_is_sec  ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4               ,0              ,TSP_CITIES_SET_0_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.00039269999999991256,0                                      ,0                                           ,13272                                 ,13272                                      ,13272                                             ,13272
4               ,1              ,TSP_CITIES_SET_1_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.0005945000000000533 ,0                                      ,0                                           ,12536                                 ,12536                                      ,12536                                             ,12536
4               ,2              ,TSP_CITIES_SET_2_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.000532000000000199  ,0                                      ,0                                           ,14008                                 ,14008                                      ,14008                                             ,14008
4               ,3              ,TSP_CITIES_SET_3_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.0009737000000002993 ,0                                      ,0                                           ,14008                                 ,14008                                      ,14008                                             ,14008
4               ,4              ,TSP_CITIES_SET_4_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.00033890000000003084,0                                      ,0                                           ,11768                                 ,11768                                      ,11768                                             ,11768
4               ,5              ,TSP_CITIES_SET_5_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.0006771999999997114 ,0                                      ,0                                           ,14008                                 ,14008                                      ,14008                                             ,14008
4               ,6              ,TSP_CITIES_SET_6_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.0004860999999998228 ,0                                      ,0                                           ,14008                                 ,14008                                      ,14008                                             ,14008
4               ,7              ,TSP_CITIES_SET_7_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.0008187999999997864 ,0                                      ,0                                           ,13640                                 ,13640                                      ,13640                                             ,13640
4               ,8              ,TSP_CITIES_SET_8_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.0006279000000000146 ,0                                      ,0                                           ,14008                                 ,14008                                      ,14008                                             ,14008
4               ,9              ,TSP_CITIES_SET_9_N_4.json  ,TIME_AND_MEMORY    ,astar_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,HEURISTIC_A,"{'suffix': 'HEURISTIC_A', 'heuristic_model': 'A'}",nan                   ,nan                   ,nan                   ,nan                   ,0.0006483999999997714 ,0                                      ,0                                           ,14008                                 ,14008                                      ,14008                                             ,14008
