number_of_cities,index_of_sample,name_of_src_file,type_of_measurement,used_algorithm,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix,parameters,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4,0,TSP_CITIES_SET_0_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,2192.537503982575,1962.4549101168068,"[0, 3, 1, 2, 0]",False,27.246734189492372,1.4079484847378894,"[0, 1, 2, 3, 0]",1935.2081759273144,no_parameters,{},[],nan,nan,nan,nan,5.750000000004363e-05,nan,nan,nan,nan,nan,nan
4,1,TSP_CITIES_SET_1_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,3347.896929628635,2849.964203248856,"[0, 1, 3, 2, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",2849.9642032488564,no_parameters,{},[],nan,nan,nan,nan,5.7299999999926854e-05,nan,nan,nan,nan,nan,nan
4,2,TSP_CITIES_SET_2_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,3025.1885190437706,2672.783922024946,"[0, 2, 1, 3, 0]",True,0.0,0.0,"[0, 2, 1, 3, 0]",2672.783922024946,no_parameters,{},[],nan,nan,nan,nan,5.589999999999762e-05,nan,nan,nan,nan,nan,nan
4,3,TSP_CITIES_SET_3_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,2514.5029741178223,2146.3712042310062,"[0, 2, 3, 1, 0]",False,57.432646506448236,2.7493698315860735,"[0, 1, 2, 3, 0]",2088.938557724558,no_parameters,{},[],nan,nan,nan,nan,5.969999999999587e-05,nan,nan,nan,nan,nan,nan
4,4,TSP_CITIES_SET_4_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,2708.659740182895,2138.4694210788257,"[0, 1, 2, 3, 0]",True,0.0,0.0,"[0, 1, 2, 3, 0]",2138.4694210788252,no_parameters,{},[],nan,nan,nan,nan,6.219999999990122e-05,nan,nan,nan,nan,nan,nan
4,5,TSP_CITIES_SET_5_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,3775.5767558067782,3284.070906401097,"[0, 2, 3, 1, 0]",True,0.0,0.0,"[0, 1, 3, 2, 0]",3284.0709064010966,no_parameters,{},[],nan,nan,nan,nan,5.830000000006663e-05,nan,nan,nan,nan,nan,nan
4,6,TSP_CITIES_SET_6_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,3760.1447008662262,3408.4161123210242,"[0, 1, 3, 2, 0]",False,595.6306019621052,21.175827298900625,"[0, 1, 2, 3, 0]",2812.785510358919,no_parameters,{},[],nan,nan,nan,nan,5.2900000000022374e-05,nan,nan,nan,nan,nan,nan
4,7,TSP_CITIES_SET_7_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,6101.253483125707,5350.432599026177,"[0, 1, 2, 3, 0]",False,866.705662118894,19.330027771867773,"[0, 3, 1, 2, 0]",4483.726936907283,no_parameters,{},[],nan,nan,nan,nan,5.940000000004275e-05,nan,nan,nan,nan,nan,nan
4,8,TSP_CITIES_SET_8_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,3221.812700485866,2818.7444680487265,"[0, 1, 2, 3, 0]",False,176.00961751988734,6.660131548371792,"[0, 2, 1, 3, 0]",2642.734850528839,no_parameters,{},[],nan,nan,nan,nan,5.7299999999926854e-05,nan,nan,nan,nan,nan,nan
4,9,TSP_CITIES_SET_9_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,4911.287308715063,4556.822924044332,"[0, 2, 1, 3, 0]",False,656.7479084221404,16.839366058126124,"[0, 1, 3, 2, 0]",3900.075015622191,no_parameters,{},[],nan,nan,nan,nan,5.9600000000159525e-05,nan,nan,nan,nan,nan,nan
4,10,TSP_CITIES_SET_10_N_4.json,TIME_AND_DATA,greedy_search_heuristic_self_impl,3150.3632742442423,2874.82743265553,"[0, 3, 2, 1, 0]",False,263.6688395880019,10.09777193495742,"[0, 1, 3, 2, 0]",2611.1585930675283,no_parameters,{},[],nan,nan,nan,nan,0.0001457999999998627,nan,nan,nan,nan,nan,nan
