number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm                   ,full_cost,hamiltonian_cycle_cost,best_way,best_way_is_optimal,absolute_distance_error,relative_distance_error,optimal_way,optimal_cost,suffix       ,parameters,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration         ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
4               ,0              ,TSP_CITIES_SET_0_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.00025869999999983406,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,1              ,TSP_CITIES_SET_1_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,9.339999999991022e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,2              ,TSP_CITIES_SET_2_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,9.850000000000136e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,3              ,TSP_CITIES_SET_3_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,8.920000000012251e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,4              ,TSP_CITIES_SET_4_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,8.479999999977395e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,5              ,TSP_CITIES_SET_5_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,9.56999999996988e-05  ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,6              ,TSP_CITIES_SET_6_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,9.77999999998147e-05  ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,7              ,TSP_CITIES_SET_7_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,9.150000000035519e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,8              ,TSP_CITIES_SET_8_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,9.270000000016765e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,9              ,TSP_CITIES_SET_9_N_4.json  ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,8.569999999963329e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
4               ,10             ,TSP_CITIES_SET_10_N_4.json ,TIME_AND_MEMORY    ,greedy_search_heuristic_self_impl,nan      ,nan                   ,[]      ,False              ,nan                    ,nan                    ,[]         ,nan         ,no_parameters,{}        ,[]                ,nan                   ,nan                   ,nan                   ,nan                   ,8.419999999986771e-05 ,0                                      ,0                                           ,3400                                  ,3400                                       ,3400                                              ,3400
