,number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm                       ,full_cost,hamiltonian_cycle_cost,best_way,suffix ,parameters                                               ,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration         ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
0,4,0,TSP_CITIES_SET_0_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[3.1]             ,3.1,3.1,nan                   ,3.1,0.0003258000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
1,4,1,TSP_CITIES_SET_1_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003424,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
2,4,2,TSP_CITIES_SET_2_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003576,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
3,4,3,TSP_CITIES_SET_3_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003296999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
4,4,4,TSP_CITIES_SET_4_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003169,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
5,4,5,TSP_CITIES_SET_5_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0004287999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
6,4,6,TSP_CITIES_SET_6_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003229,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
7,4,7,TSP_CITIES_SET_7_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003174999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
8,4,8,TSP_CITIES_SET_8_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[1.6]             ,1.6,1.6,nan                   ,1.6,0.0005543999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
9,4,9,TSP_CITIES_SET_9_N_4.json  ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003918999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
10,4,10,TSP_CITIES_SET_10_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[12.5]            ,12.5,12.5,nan                   ,12.5,0.0004438999999996,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
11,4,11,TSP_CITIES_SET_11_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[12.5]            ,12.5,12.5,nan                   ,12.5,0.0004650000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
12,4,12,TSP_CITIES_SET_12_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[12.5]            ,12.5,12.5,nan                   ,12.5,0.0004797,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
13,4,13,TSP_CITIES_SET_13_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[1.8]             ,1.8,1.8,nan                   ,1.8,0.0003370999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
14,4,14,TSP_CITIES_SET_14_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003234,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
15,4,15,TSP_CITIES_SET_15_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[1.6]             ,1.6,1.6,nan                   ,1.6,0.0002854000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
16,4,16,TSP_CITIES_SET_16_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003486000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
17,4,17,TSP_CITIES_SET_17_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[1.8]             ,1.8,1.8,nan                   ,1.8,0.000334,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
18,4,18,TSP_CITIES_SET_18_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003394999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
19,4,19,TSP_CITIES_SET_19_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003273000000003,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
20,4,20,TSP_CITIES_SET_20_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[1.8]             ,1.8,1.8,nan                   ,1.8,0.0003622999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
21,4,21,TSP_CITIES_SET_21_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0004123999999996,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
22,4,22,TSP_CITIES_SET_22_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0002892000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
23,4,23,TSP_CITIES_SET_23_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[14.1]            ,14.1,14.1,nan                   ,14.1,0.0005503,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
24,4,24,TSP_CITIES_SET_24_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[12.7]            ,12.7,12.7,nan                   ,12.7,0.0005215,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
25,4,25,TSP_CITIES_SET_25_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[3.6]             ,3.6,3.6,nan                   ,3.6,0.0003535999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
26,4,26,TSP_CITIES_SET_26_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0004744999999997,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
27,4,27,TSP_CITIES_SET_27_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[1.6]             ,1.6,1.6,nan                   ,1.6,0.0003432999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
28,4,28,TSP_CITIES_SET_28_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0002982999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
29,4,29,TSP_CITIES_SET_29_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0004363999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
30,4,30,TSP_CITIES_SET_30_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[1.6]             ,1.6,1.6,nan                   ,1.6,0.0003234999999999,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
31,4,31,TSP_CITIES_SET_31_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0004258999999997,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
32,4,32,TSP_CITIES_SET_32_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[7.8]             ,7.8,7.8,nan                   ,7.8,0.0003263999999996,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
33,4,33,TSP_CITIES_SET_33_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[3.5]             ,3.5,3.5,nan                   ,3.5,0.0003655999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
34,4,34,TSP_CITIES_SET_34_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[3.6]             ,3.6,3.6,nan                   ,3.6,0.0006113,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
35,4,35,TSP_CITIES_SET_35_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[5.3]             ,5.3,5.3,nan                   ,5.3,0.0003880999999998,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
36,4,36,TSP_CITIES_SET_36_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[14.3]            ,14.3,14.3,nan                   ,14.3,0.0003819000000002,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
37,4,37,TSP_CITIES_SET_37_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[12.5]            ,12.5,12.5,nan                   ,12.5,0.0005220000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
38,4,38,TSP_CITIES_SET_38_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[14.3]            ,14.3,14.3,nan                   ,14.3,0.0003312000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
39,4,39,TSP_CITIES_SET_39_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003130000000002,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
40,4,40,TSP_CITIES_SET_40_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[3.6]             ,3.6,3.6,nan                   ,3.6,0.0004764000000001,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
41,4,41,TSP_CITIES_SET_41_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0003438,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
42,4,42,TSP_CITIES_SET_42_N_4.json ,CPU                ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,two_opt,"{'suffix': 'two_opt', 'perturbation_scheme': 'two_opt'}",[0.0]             ,0.0,0.0,nan                   ,0.0,0.0011968000000002,nan                                    ,nan                                         ,nan                                   ,nan                                        ,nan                                               ,
