,number_of_cities,index_of_sample,name_of_src_file           ,type_of_measurement,used_algorithm                       ,full_cost,hamiltonian_cycle_cost,best_way,suffix ,parameters                                               ,utilization_of_cpu,min_utilization_of_cpu,avg_utilization_of_cpu,std_utilization_of_cpu,max_utilization_of_cpu,time_duration         ,used_memory_before_measurement_in_bytes,used_memory_peak_before_measurement_in_bytes,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,used_memory_diff_before_after_measurement_in_bytes,used_memory_peak_diff_before_after_measurement_in_bytes
0,4,0,TSP_CITIES_SET_0_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0005706,0,0,14037,14037,14037,14037
1,4,1,TSP_CITIES_SET_1_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0008432000000002,0,0,14741,14741,14741,14741
2,4,2,TSP_CITIES_SET_2_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0006545,0,0,14357,14357,14357,14357
3,4,3,TSP_CITIES_SET_3_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0007649999999999,0,0,14933,14933,14933,14933
4,4,4,TSP_CITIES_SET_4_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0005684000000001,0,0,14037,14037,14037,14037
5,4,5,TSP_CITIES_SET_5_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0007890000000001,0,0,14613,14613,14613,14613
6,4,6,TSP_CITIES_SET_6_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0006560000000002,0,0,14421,14421,14421,14421
7,4,7,TSP_CITIES_SET_7_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0006265999999999,0,0,14293,14293,14293,14293
8,4,8,TSP_CITIES_SET_8_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0006200999999999,0,0,14037,14037,14037,14037
9,4,9,TSP_CITIES_SET_9_N_4.json  ,TIME_AND_MEMORY    ,local_search_heuristic_lib_python_tsp,nan      ,nan                   ,[]      ,ps6    ,"{'suffix': 'ps6', 'perturbation_scheme': 'ps6'}        ",[]                ,nan                   ,nan                   ,nan                   ,nan                   ,0.0005719000000001,0,0,14101,14101,14101,14101
