,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,used_algorithm,name_of_src_file,number_of_cities,index_of_sample,best_way,full_cost,hamiltonian_cycle_cost,time_duration_without_malloc_in_sec,utilization_of_cpu,used_memory_after_measurement_in_bytes,used_memory_peak_after_measurement_in_bytes,is_valid_way,is_optimal_cost,is_optimal_way,is_best_and_optimal,distance_error,optimal_error_percentage,average_cpu_utilization
0,0,0,0,astar_heuristic_self_impl,TSP_CITIES_SET_0_N_4.json,4,0,"[0, 3, 2, 1, 0]",1935.208175927314,1935.208175927314,0.0004922,[23.7],11816,11816,True,False,True,True,0.0,0.0,23.7
1,1,1,1,astar_heuristic_self_impl,TSP_CITIES_SET_1_N_4.json,4,1,"[0, 2, 1, 3, 0]",3261.7542055712183,3261.7542055712183,0.0002352999999999,[41.7],11816,11816,True,False,False,False,411.7900023223624,14.448953493975003,41.7
2,2,2,2,astar_heuristic_self_impl,TSP_CITIES_SET_2_N_4.json,4,2,"[0, 1, 2, 3, 0]",2684.7759330053505,2684.7759330053505,0.0002442,[20.3],12104,12104,True,False,False,False,11.992010980404302,0.44867117321324473,20.3
3,3,3,3,astar_heuristic_self_impl,TSP_CITIES_SET_3_N_4.json,4,3,"[0, 3, 2, 1, 0]",2088.938557724558,2088.938557724558,0.0007799000000003,[3.6],12104,12104,True,True,True,True,0.0,0.0,3.6
4,4,4,4,astar_heuristic_self_impl,TSP_CITIES_SET_4_N_4.json,4,4,"[0, 1, 2, 3, 0]",2138.4694210788257,2138.4694210788257,0.0002358000000004,[66.0],10040,10040,True,True,True,True,0.0,0.0,66.0
5,5,5,5,astar_heuristic_self_impl,TSP_CITIES_SET_5_N_4.json,4,5,"[0, 1, 2, 3, 0]",3534.9367034726984,3534.9367034726984,0.0002268,[70.8],11816,11816,True,False,False,False,250.86579707160126,7.638866645133331,70.8
6,6,6,6,astar_heuristic_self_impl,TSP_CITIES_SET_6_N_4.json,4,6,"[0, 1, 2, 3, 0]",2812.785510358919,2812.785510358919,0.0002390999999999,[63.2],12104,12104,True,True,True,True,0.0,0.0,63.2
7,7,7,7,astar_heuristic_self_impl,TSP_CITIES_SET_7_N_4.json,4,7,"[0, 3, 1, 2, 0]",4483.726936907283,4483.726936907283,0.0002425999999999,[41.1],12104,12104,True,True,True,True,0.0,0.0,41.1
8,8,8,8,astar_heuristic_self_impl,TSP_CITIES_SET_8_N_4.json,4,8,"[0, 3, 1, 2, 0]",2642.734850528839,2642.734850528839,0.0002545999999998,[24.6],12104,12104,True,True,True,True,0.0,0.0,24.6
9,9,9,9,astar_heuristic_self_impl,TSP_CITIES_SET_9_N_4.json,4,9,"[0, 2, 3, 1, 0]",3900.075015622191,3900.075015622191,0.0005587,[46.6],12104,12104,True,True,True,True,0.0,0.0,46.6
10,10,10,10,astar_heuristic_self_impl,TSP_CITIES_SET_10_N_4.json,4,10,"[0, 1, 3, 2, 0]",2611.158593067528,2611.158593067528,0.0002269999999997,[31.6],12104,12104,True,True,True,True,0.0,0.0,31.6
11,11,11,11,astar_heuristic_self_impl,TSP_CITIES_SET_0_N_5.json,5,0,"[0, 4, 1, 3, 2, 0]",5247.002694950534,5247.002694950534,0.0023508999999997,[23.2],19728,19728,True,True,True,True,0.0,0.0,23.2
12,12,12,12,astar_heuristic_self_impl,TSP_CITIES_SET_1_N_5.json,5,1,"[0, 4, 2, 3, 1, 0]",5611.766994261856,5611.766994261856,0.0008051999999998,[19.6],21928,21928,True,False,False,False,0.9507553134935733,0.016945044588945118,19.6
13,13,13,13,astar_heuristic_self_impl,TSP_CITIES_SET_2_N_5.json,5,2,"[0, 3, 2, 1, 4, 0]",3245.177303203217,3245.177303203217,0.0015317999999999,[30.4],22848,22848,True,True,True,True,0.0,0.0,30.4
14,14,14,14,astar_heuristic_self_impl,TSP_CITIES_SET_3_N_5.json,5,3,"[0, 1, 4, 3, 2, 0]",4380.120701878029,4380.120701878029,0.0007618999999996,[21.4],22168,22168,True,False,False,False,314.54970933761933,7.73691345975169,21.4
15,15,15,15,astar_heuristic_self_impl,TSP_CITIES_SET_4_N_5.json,5,4,"[0, 3, 4, 2, 1, 0]",4188.148330565064,4188.148330565064,0.0006509999999999,[21.4],18488,18488,True,True,True,True,0.0,0.0,21.4
16,16,16,16,astar_heuristic_self_impl,TSP_CITIES_SET_5_N_5.json,5,5,"[0, 2, 3, 4, 1, 0]",4834.977298453687,4834.977298453687,0.0004868999999998,[12.1],17848,17848,True,True,True,True,0.0,0.0,12.1
17,17,17,17,astar_heuristic_self_impl,TSP_CITIES_SET_6_N_5.json,5,6,"[0, 2, 4, 1, 3, 0]",5480.378042322209,5480.378042322209,0.0009597999999999,[42.9],18168,18168,True,True,True,True,0.0,0.0,42.9
18,18,18,18,astar_heuristic_self_impl,TSP_CITIES_SET_7_N_5.json,5,7,"[0, 1, 3, 4, 2, 0]",4266.057658236776,4266.057658236776,0.0020693999999998,[22.9],22248,22248,True,False,False,False,274.83239286580783,6.885915341595315,22.9
19,19,19,19,astar_heuristic_self_impl,TSP_CITIES_SET_8_N_5.json,5,8,"[0, 4, 1, 2, 3, 0]",5022.945436127309,5022.945436127309,0.0017634000000001,[2.1],18488,18488,True,False,False,False,137.96081637618317,2.8241811820322953,2.1
20,20,20,20,astar_heuristic_self_impl,TSP_CITIES_SET_9_N_5.json,5,9,"[0, 3, 4, 2, 1, 0]",5222.951586109288,5222.951586109288,0.0006531,[22.8],22808,22808,True,True,True,True,0.0,0.0,22.8
21,21,21,21,astar_heuristic_self_impl,TSP_CITIES_SET_10_N_5.json,5,10,"[0, 1, 2, 3, 4, 0]",3174.0128722731847,3174.0128722731847,0.0004967000000002,[38.5],19088,19088,True,True,True,True,0.0,0.0,38.5
22,22,22,22,astar_heuristic_self_impl,TSP_CITIES_SET_0_N_6.json,6,0,"[0, 3, 5, 2, 1, 4, 0]",3870.723463609052,3870.723463609052,0.0013043000000001,[32.7],38784,38784,True,False,False,False,214.11543518653934,5.855575263255939,32.7
23,23,23,23,astar_heuristic_self_impl,TSP_CITIES_SET_1_N_6.json,6,1,"[0, 1, 4, 5, 3, 2, 0]",4857.159580944521,4857.159580944521,0.0030837000000003,[23.2],76008,76008,True,True,True,True,0.0,0.0,23.2
24,24,24,24,astar_heuristic_self_impl,TSP_CITIES_SET_2_N_6.json,6,2,"[0, 1, 4, 2, 5, 3, 0]",6274.901176018942,6274.901176018942,0.0019113000000001,[31.8],55632,55632,True,False,False,False,3.1816008350724587,0.0507293222685133,31.8
25,25,25,25,astar_heuristic_self_impl,TSP_CITIES_SET_3_N_6.json,6,3,"[0, 5, 3, 4, 2, 1, 0]",5285.114080394351,5285.114080394351,0.0011807999999997,[21.4],29656,29656,True,True,True,True,0.0,0.0,21.4
26,26,26,26,astar_heuristic_self_impl,TSP_CITIES_SET_4_N_6.json,6,4,"[0, 2, 1, 3, 4, 5, 0]",4368.4640249020285,4368.4640249020285,0.0052216,[26.8],77608,77608,True,False,False,False,27.846981415950722,0.641544304345863,26.8
27,27,27,27,astar_heuristic_self_impl,TSP_CITIES_SET_5_N_6.json,6,5,"[0, 5, 2, 1, 4, 3, 0]",4191.535554233759,4191.535554233759,0.0015289000000002,[37.5],38224,38224,True,True,True,True,0.0,0.0,37.5
28,28,28,28,astar_heuristic_self_impl,TSP_CITIES_SET_6_N_6.json,6,6,"[0, 4, 3, 1, 5, 2, 0]",3765.722021395392,3765.722021395392,0.0030532999999999,[0.0],58976,58976,True,False,False,False,340.10491230163734,9.928281575859245,0.0
29,29,29,29,astar_heuristic_self_impl,TSP_CITIES_SET_7_N_6.json,6,7,"[0, 5, 3, 4, 1, 2, 0]",4615.78609727691,4615.78609727691,0.0028014999999999,[1.8],71208,71208,True,True,True,True,0.0,0.0,1.8
30,30,30,30,astar_heuristic_self_impl,TSP_CITIES_SET_8_N_6.json,6,8,"[0, 1, 3, 4, 5, 2, 0]",5287.04227391651,5287.04227391651,0.0024921999999998,[13.8],52360,52360,True,False,False,False,121.64819631737555,2.3550612884490203,13.8
31,31,31,31,astar_heuristic_self_impl,TSP_CITIES_SET_9_N_6.json,6,9,"[0, 1, 3, 5, 4, 2, 0]",5328.524795864792,5328.524795864792,0.0012489999999996,[5.1],35048,35048,True,True,True,True,0.0,0.0,5.1
32,32,32,32,astar_heuristic_self_impl,TSP_CITIES_SET_10_N_6.json,6,10,"[0, 1, 3, 2, 4, 5, 0]",4914.721665937423,4914.721665937423,0.0013415000000001,[7.0],41344,41344,True,False,False,False,305.0186041863408,6.61688182731826,7.0
33,33,33,33,astar_heuristic_self_impl,TSP_CITIES_SET_0_N_7.json,7,0,"[0, 6, 5, 1, 4, 2, 3, 0]",4974.266421450289,4974.266421450289,0.0076135000000001,[28.6],156288,156288,True,False,False,False,340.82191654387407,7.355692210902133,28.6
34,34,34,34,astar_heuristic_self_impl,TSP_CITIES_SET_1_N_7.json,7,1,"[0, 4, 1, 6, 5, 3, 2, 0]",3945.3830877259375,3945.3830877259375,0.0061052999999997,[14.3],143816,143816,True,True,True,True,0.0,0.0,14.3
35,35,35,35,astar_heuristic_self_impl,TSP_CITIES_SET_2_N_7.json,7,2,"[0, 6, 3, 4, 2, 1, 5, 0]",4449.089327445648,4449.089327445648,0.0111145000000001,[1.8],211936,211936,True,False,False,False,124.58499458512779,2.8809080762955053,1.8
36,36,36,36,astar_heuristic_self_impl,TSP_CITIES_SET_3_N_7.json,7,3,"[0, 2, 6, 1, 4, 5, 3, 0]",4501.574559936454,4501.574559936454,0.0084147999999997,[10.4],188424,188424,True,True,True,True,0.0,0.0,10.4
37,37,37,37,astar_heuristic_self_impl,TSP_CITIES_SET_4_N_7.json,7,4,"[0, 6, 1, 3, 4, 5, 2, 0]",5346.063808266953,5346.063808266953,0.0087288,[15.6],180712,180712,True,False,False,False,518.1163904076757,10.731607980879991,15.6
38,38,38,38,astar_heuristic_self_impl,TSP_CITIES_SET_5_N_7.json,7,5,"[0, 5, 4, 3, 6, 2, 1, 0]",4742.239498022681,4742.239498022681,0.0066177999999998,[2.0],117048,117048,True,False,True,True,0.0,0.0,2.0
39,39,39,39,astar_heuristic_self_impl,TSP_CITIES_SET_6_N_7.json,7,6,"[0, 4, 2, 5, 3, 6, 1, 0]",3685.5487542251576,3685.5487542251576,0.0050376,[10.2],120096,120096,True,False,False,False,414.66416106386714,12.677431723847423,10.2
40,40,40,40,astar_heuristic_self_impl,TSP_CITIES_SET_7_N_7.json,7,7,"[0, 2, 4, 6, 1, 3, 5, 0]",5543.285484293625,5543.285484293625,0.0060292999999997,[46.2],130032,130032,True,False,False,False,293.1468362316391,5.583601803351424,46.2
41,41,41,41,astar_heuristic_self_impl,TSP_CITIES_SET_8_N_7.json,7,8,"[0, 6, 1, 4, 3, 2, 5, 0]",5646.557622791783,5646.557622791783,0.008,[15.1],132448,132448,True,False,False,False,202.8886077135703,3.7270562767794453,15.1
42,42,42,42,astar_heuristic_self_impl,TSP_CITIES_SET_9_N_7.json,7,9,"[0, 6, 1, 3, 4, 5, 2, 0]",4281.921400559136,4281.921400559136,0.0185195,[15.5],335656,335656,True,False,False,False,46.5298517258243,1.098596226330987,15.5
43,43,43,43,astar_heuristic_self_impl,TSP_CITIES_SET_10_N_7.json,7,10,"[0, 1, 4, 3, 2, 6, 5, 0]",5675.520835804604,5675.520835804604,0.0074201,[6.9],136272,136272,True,False,False,False,94.77510957730465,1.6982517073282712,6.9
